종목1,코드,기업명
공기청정기,071840,하이마트
공기청정기,045520,크린앤사이언스
공기청정기,284740,쿠쿠홈시스
공기청정기,192400,쿠쿠홀딩스
공기청정기,044340,위닉스
공기청정기,071460,위니아딤채
공기청정기,021240,웅진코웨이
공기청정기,067170,오텍
공기청정기,058610,에스피지
공기청정기,002700,신일사업
공기청정기,043260,성호전자
공기청정기,080470,성창오토텍
공기청정기,066570,LG전자
대기환경설비,053590,한국테크놀로지
대기환경설비,066130,하츠
대기환경설비,086520,에코프로
대기환경설비,007610,선도전기
대기환경설비,148140,비디아이
대기환경설비,069140,누리플랜
대기환경설비,187790,나노
대기환경설비,009440,KC그린홀딩스
마스크,042040,케이피엠테크
마스크,016920,카스
마스크,000640,동아쏘시오홀딩스
수소차,298040,효성중공업
수소차,126880,제이엔케이히터
수소차,095190,이엠코리아
수소차,011320,유니크
수소차,288620,에스퓨얼셀
수소차,033530,세종공업
수소차,011230,삼화전자
수소차,059090,미코
수소차,007720,대명코퍼레이
수소차,012340,뉴인텍
여과설비,052690,한국전력기술
여과설비,022100,포스코ICT
여과설비,034020,두산중공업
여과설비,100840,S&TC
여과설비,119650,KC코트렐
전기차,093370,후성
전기차,009520,포스코엠텍
전기차,108230,톱텍
전기차,005070,코스모신소재
전기차,020150,일진머터리얼즈
전기차,086520,에코프로
전기차,222080,씨아이에스
전기차,036830,솔브레인
전기차,089980,상아프론테크
전기차,001820,삼화콘덴서
전기차,006400,삼성SDI
전기차,078600,대주전자재료
전기차,096770,SK이노베이션
전기차,051910,LG화학
전기차,066970,엘앤에프
제약,243070,휴온스
제약,065510,휴비츠
제약,083550,케이엠
제약,034940,조아제약
제약,102460,이연제약
제약,065950,웰크론
제약,045060,오공
제약,001540,안국약품
제약,000250,삼천당제약
제약,000520,삼일제약
제약,003850,보령제약
제약,053030,바이넥스
제약,012690,모나리자
제약,131030,디에이치피코리아
제약,002720,국제약품
제약,001060,JW중외제약
천연가스,036460,한국가스공사
천연가스,071320,지역난방공사
천연가스,004690,삼천리
천연가스,100090,삼강엠앤티
천연가스,033500,동성화인텍
천연가스,096350,대창솔루션
헬스케어,071200,인피니트헬스케어
헬스케어,043100,솔고바이오
헬스케어,032680,소프트센
