,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,소속기업부,지정자문인
,112190,KC산업,032303,"시멘트, 석회, 플라스터 및 그 제품 제조업","7,125,253","3,562,626,500","500",원(KRW),031-883-8684,경기도 여주시 가남읍 가남로 465 ,일반 기업부,하이투자증권㈜
,183350,LPK로보틱스,032902,특수 목적용 기계 제조업,"4,698,324","2,349,162,000","500",원(KRW),032-341-1645,인천광역시 부평구 부평대로329번길 86- ,일반 기업부,KB증권㈜
,224880,SGA임베디드,105802,소프트웨어 개발 및 공급업,"4,918,165","2,459,082,500","500",원(KRW),070-7410-9319,"서울특별시 송파구 법원로11길 25에이동 908호(문정동, 에이치비지니스파크) ",일반 기업부,㈜상상인증권
,284610,TS트릴리온,032004,기타 화학제품 제조업,"37,657,000","3,765,700,000","100",원(KRW),02-785-8296,"서울특별시 영등포구 양평로 96 1층,6층,8층(양평동4가, 티에스빌딩)",일반 기업부,하나금융투자㈜
,183410,골프존데카,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","4,111,161","2,055,580,500","500",원(KRW),1644-8481,"경기도 성남시 분당구 판교로 253C동 303호 (삼평동, 판교이노밸리) ",일반 기업부,하이투자증권㈜
,076340,관악산업,064201,기반조성 및 시설물 축조관련 전문공사업,"4,871,460","2,435,730,000","500",원(KRW),02-2240-7900,"서울특별시 송파구 올림픽로 293-19 (신천동, 현대타워빌딩 2층) ",일반 기업부,한국투자증권㈜
,329050,구스앤홈,031302,직물직조 및 직물제품 제조업,"1,230,200","615,100,000","500",원(KRW),02-2157-0123,"서울특별시 송파구 송파대로 55, 에이동 607호(장지동, 서울복합물류) ",일반 기업부,IBK투자증권㈜
,243870,굿센,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","1,345,951","672,975,500","500",원(KRW),02-368-8055,"서울특별시 서초구 반포대로 22, 7층(서초동, 서초평화빌딩) ",일반 기업부,IBK투자증권㈜
,244880,나눔테크,032701,의료용 기기 제조업,"5,020,000","2,510,000,000","500",원(KRW),062-955-8588,광주광역시 북구 첨단벤처소로 57(월출동) ,일반 기업부,한국투자증권㈜
,288490,나라소프트,105802,소프트웨어 개발 및 공급업,"24,770,000","2,477,000,000","100",원(KRW),02-3487-7988,"서울특별시 서초구 강남대로 163, 2층 (양재동, 혜인빌딩) ",일반 기업부,IBK투자증권㈜
