,High,Low,Open,Close,Volume,Adj Close
20031031,3695,2905,3300,2905,788359,
20031103,2850,2560,2850,2595,344980,
20031104,2895,2465,2695,2700,521355,
20031105,2685,2380,2685,2380,215153,
20031106,2360,2095,2313,2095,143861,
20031107,2300,1895,1895,2050,337756,
20031110,2130,1985,1985,2040,104612,
20031111,2075,1958,2000,1997,95753,
20031112,2045,1968,1975,1992,73887,
20031113,2185,1978,2000,2100,235943,
20031114,2170,1995,2050,2015,193492,
20031117,2048,1928,2000,1927,48358,
20031118,1975,1890,1928,1902,35597,
20031119,1948,1775,1948,1775,45249,
20031120,1850,1770,1780,1805,50440,
20031121,1870,1758,1758,1845,44105,
20031124,1900,1830,1845,1845,34873,
20031125,1985,1855,1855,1892,112738,
20031126,1940,1875,1900,1900,61724,
20031127,2005,1905,1925,1965,85468,
20031128,1975,1858,1970,1872,44252,
20031201,1850,1700,1850,1740,114250,
20031202,1773,1678,1750,1740,190386,
20031203,1758,1705,1758,1737,123194,
20031204,1785,1715,1740,1730,380028,
20031205,1750,1630,1745,1630,165558,
20031208,1690,1580,1590,1660,237658,
20031209,1675,1620,1665,1647,89099,
20031210,1658,1608,1608,1622,53993,
20031211,1660,1625,1643,1650,79872,
20031212,1848,1665,1665,1847,1118742,
20031215,1960,1808,1940,1870,522341,
20031216,1978,1808,1870,1850,518699,
20031217,1970,1875,1913,1965,508491,
20031218,2035,1815,2005,1815,388296,
20031219,1845,1625,1800,1635,300013,
20031222,1733,1635,1655,1635,287330,
20031223,1675,1470,1675,1515,320329,
20031224,1570,1500,1500,1505,133143,
20031226,1510,1390,1475,1440,166851,
20031229,1518,1425,1425,1472,131206,
20031230,1548,1485,1500,1547,111766,
20040102,1575,1508,1553,1510,81011,
20040105,1525,1483,1525,1495,63396,
20040106,1560,1450,1513,1490,94810,
20040107,1525,1450,1455,1472,160673,
20040108,1505,1420,1505,1420,126267,
20040109,1485,1403,1423,1425,81012,
20040112,1475,1400,1403,1447,118716,
20040113,1590,1443,1448,1475,162571,
20040114,1525,1455,1475,1510,95344,
20040115,1548,1465,1520,1510,70023,
20040116,1603,1478,1478,1527,175793,
20040119,1600,1505,1600,1547,127066,
20040120,1573,1500,1518,1515,37296,
20040126,1583,1505,1505,1580,147886,
20040127,1600,1525,1583,1525,73621,
20040128,1575,1495,1513,1550,64914,
20040129,1573,1508,1535,1560,56320,
20040130,1745,1565,1565,1725,516979,
20040202,1785,1680,1740,1785,313870,
20040203,1795,1720,1795,1737,165313,
20040204,1790,1683,1738,1772,185461,
20040205,1780,1615,1750,1672,170953,
20040206,1750,1593,1660,1675,126881,
20040209,1770,1645,1700,1660,229052,
20040210,1750,1640,1660,1745,173178,
20040211,1953,1750,1775,1952,652274,
20040212,1960,1815,1953,1865,410781,
20040213,2015,1793,1878,1900,636479,
20040216,1900,1810,1865,1812,242626,
20040217,1860,1745,1790,1835,312086,
20040218,1860,1765,1825,1777,141874,
20040219,1798,1608,1768,1610,323538,
20040220,1655,1555,1575,1610,145994,
20040223,1690,1610,1610,1650,147991,
20040224,1685,1610,1623,1640,82293,
20040225,1835,1620,1630,1835,490461,
20040226,2055,1900,1935,2055,1889052,
20040227,2300,2010,2125,2300,2079694,
20040302,2575,2325,2450,2575,1261454,
20040303,2650,2360,2625,2555,1982675,
20040304,2605,2373,2555,2387,1113150,
20040305,2495,2153,2360,2220,1010279,
20040308,2485,2235,2265,2485,1493764,
20040309,2575,2235,2505,2300,967182,
20040310,2565,2360,2400,2422,1530275,
20040311,2570,2218,2515,2235,1008908,
20040312,2210,1968,2160,2010,711959,
20040315,2200,1950,1975,2122,657902,
20040316,2375,2150,2190,2375,693637,
20040317,2660,2413,2525,2660,837964,
20040318,2975,2555,2825,2645,2141228,
20040319,2850,2535,2685,2725,1019425,
20040322,3050,2705,2775,3050,1286413,
20040323,3360,2850,3145,3000,1544420,
20040324,3135,2860,2950,3050,787750,
20040325,3210,2950,3025,2950,926933,
20040326,3300,2755,2950,3300,1684283,
20040329,3695,3450,3510,3695,998382,
20040330,4060,3700,3825,3865,1299039,
20040331,3945,3550,3615,3700,678282,
20040401,3800,3550,3605,3550,501643,
20040402,3640,3125,3535,3125,618839,
20040406,3370,3035,3075,3150,1126455,
20040407,3250,3000,3210,3060,476583,
20040408,3130,3005,3130,3075,392818,
20040409,3385,3105,3105,3225,1063990,
20040412,3360,3200,3300,3275,436459,
20040413,3350,3035,3320,3090,351930,
20040414,3110,2920,3100,2940,261899,
20040416,3100,2915,2915,3005,264460,
20040419,3350,3000,3000,3225,661344,
20040420,3260,3030,3205,3030,389405,
20040421,3150,3005,3005,3085,251327,
20040422,3455,3350,3455,3455,664130,
20040423,3865,3480,3700,3865,1111544,
20040426,4325,3870,3870,4325,1088148,
20040427,4450,3990,4440,4200,596037,
20040428,4590,4130,4150,4200,657961,
20040429,4200,3810,4100,3810,285254,
20040430,3780,3500,3500,3625,377201,
20040503,3910,3500,3500,3800,438275,
20040504,4180,3810,3850,3900,616850,
20040506,4080,3510,3940,3510,298704,
20040507,3620,3230,3515,3430,229578,
20040510,3530,3020,3360,3040,384193,
20040511,3150,2810,2910,3065,313503,
20040512,3430,3130,3150,3430,355714,
20040513,3740,3350,3350,3525,584635,
20040514,3690,3150,3550,3270,211882,
20040517,3350,2880,3250,2880,250820,
20040518,3055,2660,2735,2915,261225,
20040519,3055,2925,2925,2960,289354,
20040520,2880,2605,2870,2605,298978,
20040521,2800,2555,2605,2605,649030,
20040524,2710,2600,2690,2610,363717,
20040525,2910,2385,2570,2790,1531456,
20040527,2940,2670,2845,2760,831560,
20040528,2830,2730,2800,2755,322479,
20040531,2755,2625,2715,2640,255833,
20040601,2705,2635,2695,2635,203231,
20040602,2730,2550,2635,2670,482128,
20040603,2855,2620,2760,2685,671885,
20040604,2760,2650,2650,2740,418781,
20040607,3065,2770,2850,3065,1544402,
20040608,3190,2950,3120,3075,1026815,
20040609,3190,2985,3140,2995,684971,
20040610,3240,2885,2950,3240,781305,
20040611,3340,3120,3240,3235,818179,
20040614,3370,2850,3230,2850,952381,
20040615,2980,2650,2950,2860,739512,
20040616,2910,2680,2800,2700,400882,
20040617,2890,2600,2640,2700,659360,
20040618,2750,2650,2700,2690,264476,
20040621,3000,2750,2750,2950,712047,
20040622,2990,2745,2990,2830,691839,
20040623,2875,2610,2860,2700,431715,
20040624,2770,2680,2700,2680,355095,
20040625,2725,2620,2650,2675,374396,
20040628,2725,2670,2675,2680,239341,
20040629,2835,2720,2720,2795,569918,
20040630,2840,2750,2830,2815,470013,
20040701,2995,2865,2885,2920,751055,
20040702,2870,2750,2865,2750,350234,
20040705,2850,2705,2705,2750,230552,
20040706,2795,2675,2735,2675,277957,
20040707,2675,2555,2555,2630,262967,
20040708,2670,2560,2620,2565,191871,
20040709,2810,2530,2535,2685,502356,
20040712,2810,2620,2700,2720,513714,
20040713,2745,2650,2725,2660,247898,
20040714,2675,2585,2645,2595,228309,
20040715,2595,2435,2590,2485,203006,
20040716,2645,2420,2435,2570,222385,
20040719,2590,2500,2500,2530,111970,
20040720,2575,2490,2490,2550,161763,
